             レースID  馬番           pred_score
6826  202407010303  18  27.2990630000000003
6835  202407010304   2  43.5397760000000034
6851  202407010305   2  42.5855180000000004
6865  202407010306   7  43.5397760000000034
6872  202407010307   4  43.7744870000000006
6878  202407010308   2   35.890113999999997
6895  202407010309   4  42.2901269999999982
6920  202407010310   7  36.4103279999999998
6924  202407010311   6  31.2455619999999996
6953  202407010312  14  31.7656120000000008
6962  202407010401   5  40.2000659999999996
6975  202407010402   5  62.9548229999999975
6985  202407010403   3  43.5397639999999981
7003  202407010404  15  35.1014479999999978
7027  202407010405   2  44.5384799999999998
7044  202407010406  10  41.5006520000000023
7054  202407010407   6  31.5991759999999999
7067  202407010408  10  39.8370299999999986
7073  202407010409   7  34.9929119999999969
7084  202407010410   2   31.451035000000001
7097  202407010411   7  39.6689799999999977
7122  202407010412  13   27.127006999999999
7135  202407010501  16  39.5139470000000017
7143  202407010502  17  31.9598520000000015
7165  202407010503   6  30.7973250000000007
7173  202407010504  15  35.1066059999999993
7189  202407010505  13  47.9959869999999995
7213  202407010506   5  42.3462999999999994
7224  202407010507   8  35.6105000000000018
7233  202407010508  11  31.7104630000000007
7252  202407010509   8  43.7067570000000032
7260  202407010510   8  48.0785699999999991
7276  202407010511  13  42.4829000000000008
7290  202407010512   9  27.0350819999999992
7306  202407010601  11  27.2607940000000006
7323  202407010602   9  43.8973299999999966
7344  202407010603  10  40.1740899999999996
7357  202407010604  16  44.2478750000000005
7372  202407010605  13  36.1941599999999966
7376  202407010606   9  39.4104900000000029
7392  202407010607   2  48.7824480000000023
7403  202407010608   9  27.7179159999999989
7412  202407010609  10  47.9959869999999995
7431  202407010610   4  40.1442529999999991
7444  202407010611   5  27.4170200000000008
7465  202407010612   6  32.2326300000000003
7472  202407020101   2  75.9039599999999979
7482  202407020102  12  26.3108399999999989
7508  202407020103  12  40.1830700000000007
7514  202407020104   6  71.2858049999999963
7531  202407020106   6   40.797896999999999
7543  202407020107  10  27.6809389999999986
7562  202407020108   3  40.3865049999999997
7577  202407020109   5  43.6079000000000008
7588  202407020110   6  40.3718339999999998
7601  202407020111   6  43.7123199999999983
7608  202407020112   7  31.0390100000000011
7620  202407020201   4  34.9395999999999987
7636  202407020202  16  27.9335099999999983
7660  202407020203  11   45.086269999999999
7675  202407020204   4  42.6112329999999986
7684  202407020206   3  32.1092829999999978
7696  202407020207   9  43.8702049999999986
7714  202407020208  13  40.3410000000000011
7722  202407020209   8  35.9339140000000015
7725  202407020210  10  39.2434769999999986
7742  202407020211   7  44.0934639999999973
7751  202407020212   9  28.4371359999999989
7757  202407020301   1  26.3106140000000011
7779  202407020302  15  40.0845449999999985
7792  202407020303   9   42.199069999999999
7801  202407020304   2  27.2838439999999984
7824  202407020307   3   35.508735999999999
7831  202407020308   3  40.4743300000000019
7843  202407020309   6   43.540976999999998
7857  202407020310  10  31.0820270000000001
7862  202407020311   7  32.1820030000000017
7887  202407020312   4  27.9714549999999988
7901  202407020401   7  64.9605260000000015
7908  202407020402   5  40.4777029999999982
7918  202407020403   5  43.5397760000000034
7937  202407020404  10  31.8071979999999996
7943  202407020406  17  44.4317899999999995
7962  202407020407  10  39.7198139999999995
7983  202407020408  15  31.7401829999999983
7991  202407020409   6  40.3430139999999966
8009  202407020410   8  31.6292000000000009
8035  202407020411   7  27.7336400000000012
8039  202407020412  16  26.8834440000000008
8053  202407020501   5  34.9395999999999987
8074  202407020502  10  63.5540960000000013
8088  202407020503   6  27.6926629999999996
8093  202407020504   3  71.2858049999999963
8112  202407020506   5  40.6713829999999987
8123  202407020507   4  44.6913449999999983
8136  202407020508   9  40.1927069999999986
8153  202407020509   6  48.9543999999999997
8158  202407020510  12  27.6683179999999993
8175  202407020511  11  42.5611570000000015
8195  202407020512   1  31.5187530000000002
8205  202407020601   6  30.6287079999999996
8231  202407020602   2  41.3282239999999987
8250  202407020603   4   49.423175999999998
8264  202407020604  14  33.2426499999999976
8273  202407020606   5  32.7712360000000018
8294  202407020607  13  42.5830569999999966
8300  202407020608  14  35.6395869999999988
8322  202407020609  10  40.4590800000000002
8331  202407020610   4  44.5323399999999978
8339  202407020611  12  39.8837100000000007
8350  202407020612   8  27.2447949999999999
8364  202407020701   4  38.9778900000000021
8375  202407020702   9  30.7957900000000002
8397  202407020703   9  27.3286270000000009
8399  202407020704   5  32.1723399999999984
8429  202407020707   3  35.2018550000000019
8435  202407020708   4  39.2376560000000012
8449  202407020709   2  43.5790250000000015
8453  202407020710   2  31.6413669999999989
8479  202407020711   9  27.8113439999999983
8493  202407020712   2   31.199072000000001
8497  202407020801   4   64.642470000000003
8511  202407020802   6  40.7738269999999972
8522  202407020803   5  43.7067570000000032
8536  202407020804  12  30.9105300000000014
8552  202407020806  17  44.5631330000000005
8568  202407020807  11   39.589739999999999
8575  202407020808   1  32.1365049999999997
8597  202407020809   6  35.8401599999999974
8610  202407020810  13   32.059905999999998
8617  202407020811   8  26.4777529999999999
8634  202407020812  16  26.8995500000000014
8646  202407030101   6  30.6288780000000003
8656  202407030102   4  39.2434769999999986
8663  202407030103   2  43.5397760000000034
8674  202407030106   1  26.9581699999999991
8689  202407030107   4  40.1515539999999973
8695  202407030108   3  27.8204819999999984
8715  202407030109   8  43.7428359999999969
8722  202407030110   9  48.7484899999999968
8742  202407030111   2  32.3446240000000032
8746  202407030112   6  27.3473989999999993
8757  202407030201   6  64.9085699999999974
8765  202407030202   1  26.3108399999999989
8774  202407030203   2  34.9395999999999987
8787  202407030206   3  39.7403949999999995
8798  202407030207   6  42.4123599999999996
8807  202407030208   7  44.8925300000000007
8821  202407030209   1   40.254482000000003
8835  202407030210   2  27.6854480000000009
8846  202407030211  14  27.7121770000000005
8859  202407030212   5  31.4264699999999984
8872  202407030301   9  30.6288780000000003
8881  202407030302   5  39.2434769999999986
8889  202407030303   3  34.9395999999999987
8912  202407030304   2  42.2224900000000005
8927  202407030306  16  36.2882960000000026
8943  202407030307   2  27.2610929999999989
8948  202407030308   9  71.9226699999999965
8960  202407030309   4  30.6287079999999996
8968  202407030310   2  39.9370040000000017
8986  202407030311   7  44.2774470000000022
8989  202407030312   1  31.0495009999999994
9004  202407030401   8  65.6581900000000047
9013  202407030402   6  26.4779550000000015
9022  202407030403   6  26.2386200000000009
9033  202407030406   3  40.7848550000000003
9051  202407030407   2  27.4546409999999987
9064  202407030408   4  40.5980759999999989
9074  202407030409   8  48.2565839999999966
9088  202407030410   5  36.5446170000000023
9096  202407030411   1  44.0014949999999985
9115  202407030412   2  30.9048119999999997
9121  202407030501   2  30.5568799999999996
9131  202407030502   6  39.1713939999999994
9141  202407030503  10  43.5397760000000034
9161  202407030506   2  31.7828100000000013
9171  202407030507   3  40.1434360000000012
9191  202407030508  15  31.4645440000000001
9204  202407030509   8  48.8109099999999998
9218  202407030510   7  32.3143230000000017
9234  202407030511   2  40.3374979999999965
9240  202407030512   4  27.1114959999999989
9247  202407030601   6  30.6288780000000003
9256  202407030602   8  43.5397760000000034
9265  202407030603  13  30.6288780000000003
9281  202407030606   5  42.1042300000000012
9299  202407030607   6  44.3551330000000021
9305  202407030608   2  43.5397760000000034
9314  202407030609   1  27.2625160000000015
9325  202407030610   4  27.2054749999999999
9345  202407030611   2  31.5111799999999995
9363  202407030612  16  40.4570119999999989
9380  202407030701  13  64.9659500000000065
9383  202407030702   3  39.2434769999999986
9394  202407030703   2  30.6286810000000003
9414  202407030706   8  39.7240449999999967
9427  202407030707   4  31.7004570000000001
